courier_key,courier_id,courier_name,gender,phone,branch_id,vehicle_type,hire_date,employee_status,is_active
1,KR-00001,Diah Anggraini,Laki-laki,085775699579,BR-011,Mobil Box,2026-06-08,Tetap,1
2,KR-00002,Silvia Saefullah,Laki-laki,085748141577,BR-008,Motor,2026-03-11,Kontrak,1
3,KR-00003,"R. Jagapati Sinaga, S.Kom",Laki-laki,085796245556,BR-008,Mobil Box,2025-02-15,Kontrak,1
4,KR-00004,"drg. Carla Sihombing, M.Farm",Perempuan,085734305931,BR-010,Motor,2026-03-16,Tetap,1
5,KR-00005,"Jaiman Hardiansyah, S.Psi",Perempuan,085744670127,BR-017,Motor,2024-05-08,Kontrak,1
6,KR-00006,Himawan Suwarno,Perempuan,085746036386,BR-018,Sepeda,2023-07-03,Tetap,1
7,KR-00007,"dr. Wirda Oktaviani, S.Psi",Laki-laki,085747909777,BR-019,Motor,2025-12-05,Kontrak,1
8,KR-00008,Timbul Dongoran,Laki-laki,085712187356,BR-017,Motor,2023-07-14,Freelance,1
9,KR-00009,Balangga Hutasoit,Perempuan,085796724567,BR-007,Mobil Van,2024-08-09,Freelance,1
10,KR-00010,Tgk. Karsa Wastuti,Laki-laki,085750450294,BR-018,Mobil Van,2024-09-22,Tetap,1
11,KR-00011,Uda Wahyudin,Perempuan,085759410914,BR-001,Motor,2024-11-26,Tetap,1
12,KR-00012,"Slamet Wasita, S.Pt",Perempuan,085757516888,BR-002,Motor,2024-04-23,Tetap,1
13,KR-00013,Farhunnisa Wacana,Perempuan,085736889136,BR-015,Mobil Box,2023-11-10,Tetap,1
14,KR-00014,Zizi Hartati,Perempuan,085771522844,BR-001,Motor,2024-08-10,Freelance,1
15,KR-00015,"Puti Ciaobella Winarno, S.E.I",Perempuan,085764028208,BR-004,Motor,2025-07-08,Tetap,1
16,KR-00016,"Sutan Rahmat Siregar, M.M.",Perempuan,085770569707,BR-009,Motor,2026-03-28,Freelance,1
17,KR-00017,Mahdi Widiastuti,Perempuan,085739274312,BR-012,Motor,2024-12-31,Freelance,1
18,KR-00018,Mala Situmorang,Perempuan,085716258135,BR-015,Mobil Van,2024-11-27,Tetap,1
19,KR-00019,Manah Mansur,Perempuan,085784592085,BR-004,Sepeda,2024-06-16,Kontrak,1
20,KR-00020,Aurora Wahyuni,Perempuan,085746064416,BR-007,Mobil Van,2024-03-20,Kontrak,1
21,KR-00021,Betania Siregar,Perempuan,085753082696,BR-001,Motor,2026-06-02,Tetap,1
22,KR-00022,Ajiman Yuniar,Laki-laki,085771570480,BR-008,Mobil Van,2026-01-15,Tetap,1
23,KR-00023,"R.A. Tiara Hastuti, M.Kom.",Perempuan,085779569787,BR-014,Mobil Van,2026-05-04,Tetap,1
24,KR-00024,Bakti Hutagalung,Perempuan,085777500901,BR-015,Motor,2025-04-20,Kontrak,1
25,KR-00025,"Dr. Jamalia Dabukke, S.Pt",Perempuan,085794308959,BR-012,Motor,2023-10-04,Kontrak,1
26,KR-00026,Nilam Wibowo,Perempuan,085752040295,BR-009,Mobil Van,2025-05-31,Tetap,1
27,KR-00027,Ajimin Hutapea,Perempuan,085779108165,BR-014,Mobil Van,2024-11-16,Tetap,1
28,KR-00028,Zelaya Saragih,Laki-laki,085716378942,BR-019,Motor,2025-08-13,Tetap,1
29,KR-00029,Titi Novitasari,Laki-laki,085726659241,BR-006,Motor,2025-10-16,Tetap,1
30,KR-00030,Heryanto Anggriawan,Perempuan,085787697003,BR-015,Mobil Van,2026-01-18,Kontrak,1
31,KR-00031,Septi Mustofa,Laki-laki,085766619598,BR-009,Mobil Van,2026-06-09,Tetap,1
32,KR-00032,Paiman Namaga,Laki-laki,085724644425,BR-019,Sepeda,2025-12-23,Freelance,1
33,KR-00033,Drs. Cinthia Mardhiyah,Laki-laki,085743272002,BR-012,Motor,2023-07-23,Freelance,1
34,KR-00034,"Cut Nadia Samosir, S.H.",Laki-laki,085742980558,BR-017,Mobil Van,2024-12-16,Kontrak,1
35,KR-00035,Tira Tampubolon,Laki-laki,085726594509,BR-014,Motor,2024-07-22,Kontrak,1
36,KR-00036,Ellis Pertiwi,Laki-laki,085764293923,BR-005,Motor,2025-10-14,Freelance,1
37,KR-00037,"Vanesa Anggriawan, S.H.",Laki-laki,085749491532,BR-005,Motor,2023-07-04,Tetap,1
38,KR-00038,Tirta Januar,Perempuan,085724998434,BR-012,Motor,2025-09-10,Tetap,1
39,KR-00039,Yulia Kusumo,Perempuan,085719158630,BR-003,Mobil Van,2024-02-13,Kontrak,1
40,KR-00040,Ami Haryanti,Perempuan,085731869827,BR-001,Motor,2026-05-07,Tetap,1
41,KR-00041,Zaenab Astuti,Perempuan,085719346587,BR-015,Motor,2023-07-08,Tetap,1
42,KR-00042,Galiono Astuti,Laki-laki,085739076473,BR-012,Motor,2024-03-19,Kontrak,1
43,KR-00043,Tgk. Malika Mangunsong,Laki-laki,085754876901,BR-004,Mobil Van,2025-06-29,Tetap,1
44,KR-00044,"Tira Padmasari, M.M.",Laki-laki,085710186547,BR-020,Motor,2025-12-13,Freelance,1
45,KR-00045,Wani Widodo,Laki-laki,085729104505,BR-006,Mobil Van,2023-11-23,Freelance,1
46,KR-00046,"Ir. Citra Zulkarnain, S.Pt",Laki-laki,085780470089,BR-002,Motor,2025-11-14,Tetap,1
47,KR-00047,Panji Pradipta,Perempuan,085792989351,BR-003,Mobil Box,2025-08-27,Tetap,1
48,KR-00048,Taufik Gunawan,Laki-laki,085778997105,BR-005,Motor,2023-12-03,Kontrak,1
49,KR-00049,Ade Pradipta,Perempuan,085772152792,BR-006,Motor,2024-03-02,Kontrak,1
50,KR-00050,Rini Zulkarnain,Perempuan,085727408941,BR-011,Motor,2023-10-26,Kontrak,1
51,KR-00051,Patricia Rahimah,Laki-laki,085757641730,BR-016,Motor,2024-11-16,Freelance,1
52,KR-00052,Amelia Hutagalung,Perempuan,085732347950,BR-001,Motor,2023-07-19,Kontrak,1
53,KR-00053,"Dr. Rika Nasyidah, M.Farm",Perempuan,085726095720,BR-009,Mobil Van,2023-11-21,Tetap,1
54,KR-00054,"dr. Respati Rahayu, S.Pd",Laki-laki,085780013346,BR-008,Motor,2025-12-03,Tetap,1
55,KR-00055,drg. Wira Kuswoyo,Laki-laki,085754265119,BR-002,Mobil Van,2023-06-30,Tetap,1
56,KR-00056,Kamaria Najmudin,Laki-laki,085738527757,BR-006,Motor,2025-01-05,Freelance,1
57,KR-00057,Putu Purwanti,Laki-laki,085761880014,BR-011,Motor,2023-12-18,Tetap,1
